4124,Productivity Master,999,AppBazaar,1
24214,Entertainment Hub,1499,AppBazaar,1
87087,BizPlanner Pro,2499,AppBazaar,1
9807,EduLearn,1999,AppBazaar,1
8783,Mindfulness App,999,AppBazaar,0
7520,GraphicDesign Studio,3999,SoftSphere,1
4892,MathSolver Pro,1499,SoftSphere,1
3201,CodeMaster IDE,4999,SoftSphere,1
2414,LanguageTutor,1999,SoftSphere,1
5842,EduGames,1499,SoftSphere,0
5812,DebugPro,2999,CodeCove,1
6432,ProjectManager,1999,CodeCove,1
8078,CodeCompiler,3999,CodeCove,1
7492,API Integrator,2499,CodeCove,1
7821,OfficeSuite,2999,CodeCove,0
8291,CreativeSuite,5999,DigitalHive,1
8922,Business Analytics,2999,DigitalHive,1
9012,GameMaker Studio,3999,DigitalHive,1
1292,HealthTracker,1499,DigitalHive,1
7210,TravelGuide,1999,DigitalHive,0
